NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
PUFFIN S,14772J,9164811,D5VI4,149 m,23.1 m,13.8 m,9.72 m,4118 mm,14118,20738 ton,157.49 m,https://www.vesselfinder.com/vessels/details/9164811
AURELIE,39V993,9163647,OJTD,89.72 m,84.98 m,13.6 m,7.2 m,5.71 m,2774,1548,4135 ton,https://www.vesselfinder.com/vessels/details/9163647
MALU EXPLORER,39G382,8924496,VJQ3999,45.54 m,41.82 m,13.08 m,3.04 m,2.33 m,536,260,618 ton,https://www.vesselfinder.com/vessels/details/8924496
HC LARA,10990X,9415064,General cargo ship,129.4 m,122.1 m,17 m,10 m,7.1 m,6577,2881,8850 ton,https://www.vesselfinder.com/vessels/details/9415064
H&S HONESTY,09710G,9421611,PHIZ,87.27 m,83.2 m,11.42 m,5.85 m,4.26 m,1862,920,2620 ton,https://www.vesselfinder.com/vessels/details/9421611
OMER SOFUOGLU,07560U,9389344,3EST2,93.62 m,86.28 m,14.55 m,7.6 m,6.03 m,2705,1506,4408 ton,https://www.vesselfinder.com/vessels/details/9389344
HAV SAGA,35901A,8719073,OZ2186,74.62 m,69.1 m,12.7 m,8.6 m,6.1 m,2030,911,3017 ton,https://www.vesselfinder.com/vessels/details/8719073
WESTBORG,00814M,9196187,PDBQ,89.25 m,84.6 m,13.3 m,7.15 m,5.67 m,2868,1613,3780 ton,https://www.vesselfinder.com/vessels/details/9196187
FRI LIEPAJA,07980B,9344514,LANO8,89.99 m,84.99 m,14 m,6.1 m,860 mm,2999,1639,4933 ton,https://www.vesselfinder.com/vessels/details/9344514
ARKLOW VALE,27825W,9772527,General cargo ship,86.93 m,84.98 m,15 m,7.17 m,6.35 m,2999,1731,5157 ton,https://www.vesselfinder.com/vessels/details/9772527
HAV VESTLANDIA,39805T,9197454,OZ2195,81 m,12.8 m,7.1 m,5.49 m,1520 mm,2461,3710 ton,87.83 m,https://www.vesselfinder.com/vessels/details/9197454
EKMEN ROYAL,07543B,9165865,8PBJ8,126.08 m,115.8 m,20 m,10.4 m,8.4 m,7738,3387,10334 ton,https://www.vesselfinder.com/vessels/details/9165865
WILSON STADT,18183R,8918485,General cargo ship,112.65 m,106.24 m,15.2 m,8.61 m,6.68 m,4200,2144,6463 ton,https://www.vesselfinder.com/vessels/details/8918485
HILDA B,12576W,9466233,5BCL6,88.3 m,83.44 m,12.9 m,7 m,5.4 m,2622,1421,3500 ton,https://www.vesselfinder.com/vessels/details/9466233
CATANIA,13638B,9556832,General cargo ship,87.91 m,84.98 m,11.41 m,4.1 m,1708 mm,1905,878,2595 ton,https://www.vesselfinder.com/vessels/details/9556832
TRAVELLER,00558J,9204726,Cargo / Container ship,100.5 m,94.82 m,20.4 m,11.1 m,8.2 m,6714,2888,8729 ton,https://www.vesselfinder.com/vessels/details/9204726
