NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
CRYSTAL VALERIAN,35874V,9851622,Liquefied gas carrier,99.98,93.5,17.2,7.8,6.1,4324,1376,4920,https://www.vesselfinder.com/vessels/details/9851622
SEA BAZOU 2,07359B,9334428,Oil tanker / Chemical tanker,148,139.5,21.6,8.6,2712,10811,5219,15551,https://www.vesselfinder.com/vessels/details/9334428
SAKURA ADVANCE,15644G,9568495,Oil tanker / Chemical tanker,170,161,26.8,15.6,10.1,19349,7594,27000,https://www.vesselfinder.com/vessels/details/9568495
HUA YUN,17298E,9566344,Oil tanker,182,174,32.2,17.3,11,28410,9810,40000,https://www.vesselfinder.com/vessels/details/9566344
THUN LONDON,30814V,9828986,Oil tanker / Chemical tanker,149.8,140.8,22.8,12.7,9.4,11826,5932,18684,https://www.vesselfinder.com/vessels/details/9828986
ANA NZINGA,20548M,9498119,Oil tanker / Chemical tanker,144.05,136.37,22.6,12.5,9.21,11304,5263,17497,https://www.vesselfinder.com/vessels/details/9498119
SANANA,27467H,9746061,Oil tanker,183,175.5,32.5,17.1,11,27286,11023,40627,https://www.vesselfinder.com/vessels/details/9746061
ISABELLA KOSAN,07915F,9342384,Liquefied gas carrier,115,107.81,18.6,10.6,7.4,7465,2239,8586,https://www.vesselfinder.com/vessels/details/9342384
APTERA,06859H,9036868,Oil tanker,105.02,97,15.5,7.9,6.75,3207,1273,5260,https://www.vesselfinder.com/vessels/details/9036868
NAUTICA KLUANG 2,37878Y,9921087,Oil tanker,119.9,113.9,19,10.85,7.5,7147,2816,9499,https://www.vesselfinder.com/vessels/details/9921087
MONTE ULÍA,30436K,9803285,Oil tanker,274,266,48,23.7,17.2,82908,49232,156424,https://www.vesselfinder.com/vessels/details/9803285
FRANKOPAN,34098Q,9796731,Frankopan Shipping LLC,249.9,239,44,21.52,15.1,63802,35001,114305,https://www.vesselfinder.com/vessels/details/9796731
CABO KAMUI,28041G,9755050,Oil tanker / Product tanker,228,219,32.24,20.9,14.45,42794,21760,74214,https://www.vesselfinder.com/vessels/details/9755050
C. GENUINE,40670J,9929663,Oil tanker,336,330,60,29.5,21.7,156392,106250,300795,https://www.vesselfinder.com/vessels/details/9929663
GAO CHENG 2,20243F,9571210,Oil tanker / Chemical tanker,139.8,24,12.6,9.35,3266,12320,19098,149.79,https://www.vesselfinder.com/vessels/details/9571210
MARIE,38945J,9912880,Liquefied gas carrier,119.98,113.5,20,10.2,7.21,8040,2412,7483,https://www.vesselfinder.com/vessels/details/9912880
KINGIS,00878G,9210892,Oil tanker / Chemical tanker,183.97,174.6,30,15.9,10.5,24099,9857,37026,https://www.vesselfinder.com/vessels/details/9210892
MONJASA SUPPLIER,12487A,9498963,Oil tanker,110,105.29,18.6,10,7.9,5256,2847,8839,https://www.vesselfinder.com/vessels/details/9498963
