NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
EEMS DOLLARD,04911Q,9278337,PBLV,88.78,84.99,12.5,7,5.4,2545,1460,3816,https://www.vesselfinder.com/vessels/details/9278337
KENAN ATASOY,00903J,9215658,Cargo / Container ship,111.75,105.34,14.95,8.4,6.86,4503,2526,7116,https://www.vesselfinder.com/vessels/details/9215658
SOUND PEARL,43558X,9452907,General cargo ship,188.5,184.13,32.26,17.15,12.14,29829,15882,51658,https://www.vesselfinder.com/vessels/details/9452907
SOLENTBANK,08864M,9361744,PGDL,89.9,84.98,14.4,7.35,5.84,2998,1673,4889,https://www.vesselfinder.com/vessels/details/9361744
KANGO,33939S,8356209,General cargo ship,67.25,13.4,4.37,3.3,1089,1290,2250,69.83,https://www.vesselfinder.com/vessels/details/8356209
ANNIE,19354P,9468097,General cargo ship,138.07,130,21,8,3018,9611,4260,12653,https://www.vesselfinder.com/vessels/details/9468097
TINNO,18286D,8908806,General cargo ship,83.2,14,6.35,4.96,1083,1986,3504,88.15,https://www.vesselfinder.com/vessels/details/8908806
FREZYA S,08217J,9353022,General cargo ship,119.6,112.98,16.8,8.2,6.27,5029,3002,7939,https://www.vesselfinder.com/vessels/details/9353022
HENDRIKA MARGARETHA,38G876,9057238,PDRZ,81.05,76.97,12.29,6.7,5.2,1999,1152,3200,https://www.vesselfinder.com/vessels/details/9057238
STEVIN PISCES,41556W,9682681,Cargo ship,121.2,26,8,5.71,2316,7302,2191,127.73,https://www.vesselfinder.com/vessels/details/9682681
DEO VOLENTE,08541L,9391658,General cargo ship,104.69,97.9,15.6,5.82,1597,2981,1198,3394,https://www.vesselfinder.com/vessels/details/9391658
ALLORA,04846U,9226188,General cargo ship,81.9,78.65,11.3,4.45,3.44,1556,793,1780,https://www.vesselfinder.com/vessels/details/9226188
FIVELBORG,12479R,9419307,Cargo / Container ship,142.8,136.33,17.2,8.3,3401,8911,4419,14575,https://www.vesselfinder.com/vessels/details/9419307
NORTHERN ROCK,27708U,9728887,General cargo ship,92.2,84.98,14,10,5,2989,896,3285,https://www.vesselfinder.com/vessels/details/9728887
MAX,41294M,9351098,Container ship,127,119.4,20.4,10.35,7.75,7532,3553,8724,https://www.vesselfinder.com/vessels/details/9351098
HAPPY RANGER,42073J,9139311,General cargo ship,138.04,128.97,22.8,12.95,9.5,10990,5041,15443,https://www.vesselfinder.com/vessels/details/9139311
ST. ANDREW,36843Y,9401934,Bulk carrier,189.99,186,32.26,17.31,12.26,30488,15289,50779,https://www.vesselfinder.com/vessels/details/9401934
ARUCAS,07701X,9197492,General cargo ship,105.1,101.21,15.57,8.04,6.11,3660,2147,5047,https://www.vesselfinder.com/vessels/details/9197492
WILSON GOOLE,972A43,9126687,Cargo / Container ship,87.9,82.1,12.8,7.1,5.5,2446,1369,3680,https://www.vesselfinder.com/vessels/details/9126687
LADY ZEHRA,43899T,9309617,General cargo ship,171.59,163.6,27,14.8,10.4,19799,10378,31734,https://www.vesselfinder.com/vessels/details/9309617
SANDETTIE,04209C,9214018,General cargo ship,88.95,86.34,12.4,5.65,4.34,2088,1168,2934,https://www.vesselfinder.com/vessels/details/9214018
SYDBORG,00816P,9196204,PFBD,89.25,84.6,13.3,7.15,5.67,2868,1613,3780,https://www.vesselfinder.com/vessels/details/9196204
ALI AKAY,08075E,9358759,General cargo ship,94.72,84.83,17,8.6,7.11,3816,1911,6257,https://www.vesselfinder.com/vessels/details/9358759
COREBEST OL,35405L,9651943,General cargo ship,127.82,119.83,19.6,11,8.23,7617,4541,12349,https://www.vesselfinder.com/vessels/details/9651943
BLUEFISH,28403A,9506552,General cargo ship,89.95,84.95,15.4,7.6,5.8,2993,1590,5558,https://www.vesselfinder.com/vessels/details/9506552
COASTAL ENTERPRISE,04175Q,8987424,PHCG,35,11.5,2.48,1.7,790,356,106,36,https://www.vesselfinder.com/vessels/details/8987424
BALTIC MOON,38191P,9195729,Cargo / Container ship,84.89,12.5,7.02,5.4,1610,2545,3850,88.78,https://www.vesselfinder.com/vessels/details/9195729
EEMS SOLAR,16839F,9559614,General cargo ship,99.23,95.47,11.42,5.85,4.56,2153,1121,3410,https://www.vesselfinder.com/vessels/details/9559614
MEDKON ISTANBUL,39K408,9103386,Container ship,100.8,94.3,20.2,11,7.32,6285,3108,8500,https://www.vesselfinder.com/vessels/details/9103386
MEMNUNE K,43025T,9576703,General cargo ship,89.99,84.43,14,7.15,5.81,2997,1598,4488,https://www.vesselfinder.com/vessels/details/9576703
OYEM,37081H,8356194,General cargo ship,70,68.5,13,4.2,3.2,1249,1104,2000,https://www.vesselfinder.com/vessels/details/8356194
JIA HONG,37384M,9278947,General cargo ship,130.73,122.9,19.6,13.2,7.72,9243,3701,11827,https://www.vesselfinder.com/vessels/details/9278947
OSTBORG,00817Q,9196216,PBAW,89.25,84.6,13.3,7.15,5.67,2868,1613,3780,https://www.vesselfinder.com/vessels/details/9196216
MERWEDEGRACHT,42112B,9571519,General cargo ship,142.1,132.74,18.9,11.65,8.4,9524,4402,12303,https://www.vesselfinder.com/vessels/details/9571519
GELMOND 2,42582M,9403487,General cargo ship,115.2,110.34,15.9,5.75,4.85,3923,2249,5492,https://www.vesselfinder.com/vessels/details/9403487
DANUM 115,15658W,9553610,Deck ship,72.7,16,4.8,3.5,1362,1670,501,78.1,https://www.vesselfinder.com/vessels/details/9553610
DON ALFREDO SR. 3,35538F,9352743,Multi-purpose cargo ship,115.5,111.63,16.5,7.95,5.7,5261,2382,6089,https://www.vesselfinder.com/vessels/details/9352743
EEMSLIFT DAFNE,23331M,9671448,PCXF,111.6,102,16.8,9.3,5.94,5460,1638,4428,https://www.vesselfinder.com/vessels/details/9671448
ANA-N,09591C,9416850,General cargo ship,80.28,76.2,12.5,6.1,5.35,2311,1196,3301,https://www.vesselfinder.com/vessels/details/9416850
VOLARIS-51,27214H,8624278,General cargo ship,134,16.65,6.7,5.05,1648,4911,6277,139.81,https://www.vesselfinder.com/vessels/details/8624278
HUANGHAI DEVELOPER,16375B,9458444,General cargo ship,166.31,158.32,27.4,14.2,10.1,20682,10263,28309,https://www.vesselfinder.com/vessels/details/9458444
SYRENA,28167T,9508641,General cargo ship,89.95,84.95,15.4,7.6,5.8,3556,1591,5463,https://www.vesselfinder.com/vessels/details/9508641
NORDIC KYLIE,19630P,9357999,Multi-purpose cargo ship,138.07,130,21,11,8,9611,4260,12791,https://www.vesselfinder.com/vessels/details/9357999
LELIE C,09877N,9166443,PDBN,87.95,84.51,12.3,7.66,5.9,2450,1294,3565,https://www.vesselfinder.com/vessels/details/9166443
MOUILA,33938R,8356182,General cargo ship,67.25,13.4,4.37,3.3,1089,1290,2250,69.83,https://www.vesselfinder.com/vessels/details/8356182
WILSON BRAKE,972Y42,9150511,Cargo / Container ship,87.9,83.5,12.8,7.1,5.49,2446,1369,3680,https://www.vesselfinder.com/vessels/details/9150511
FAST SIM,07984F,9356517,ONLH,88.97,84.99,11.8,5.4,1360,2281,1229,3609,https://www.vesselfinder.com/vessels/details/9356517
WILSON GRIP,972W40,9126912,Cargo / Container ship,87.9,81.32,12.8,7.1,5.49,2446,1369,3680,https://www.vesselfinder.com/vessels/details/9126912
VALENTINA,19822X,9195872,General cargo ship,95.04,90.25,13.17,7.15,6.18,2998,1709,5000,https://www.vesselfinder.com/vessels/details/9195872
KIKKI C,16210W,9558036,General cargo ship,106.07,94.5,15.5,8.14,6.75,4151,2323,6250,https://www.vesselfinder.com/vessels/details/9558036
SNOEKGRACHT,42098L,9202546,General cargo ship,168.14,159.14,25.2,14.6,10.71,16641,6700,21404,https://www.vesselfinder.com/vessels/details/9202546
VANTAGE,09414K,9375111,Cargo / Container ship,99.97,91.55,15.85,5.85,3010,3871,1427,3650,https://www.vesselfinder.com/vessels/details/9375111
HAV PIKE,43167X,9106912,Cargo ship,81.32,12.8,7.1,5.5,1600,2446,3736,88,https://www.vesselfinder.com/vessels/details/9106912
QUELLONINA II,09791U,9510606,Deck ship,72.7,16,4.85,3.5,1362,1681,504,78.1,https://www.vesselfinder.com/vessels/details/9510606
ALTAWEELAH,36134D,9892573,Deck ship,72,16.8,5.4,4,1312,4346,1303,80.6,https://www.vesselfinder.com/vessels/details/9892573
KAZIM DEDE,00139D,9171371,Cargo ship,108.5,100,18.6,10.6,8.33,5792,2988,9861,https://www.vesselfinder.com/vessels/details/9171371
SPIEGELGRACHT,42103R,9197911,General cargo ship,168.14,159.14,25.2,14.6,10.71,16641,6700,21402,https://www.vesselfinder.com/vessels/details/9197911
