NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
HE ZHONG 1,14E0166,9711884,"Chemical/Oil Tanker, Double Hull",85,80,13.2,6.2,4.8,"2,028",756,"2,440",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9711884
Y L W,07A0219,9360398,"Oil Tanker, Double Hull/Asphalt Carrier(Independent Tank,Maximum Cargo Temperature≤200℃)",106.84,101.5,17.6,10.1,6.5,"5,530","1,659","6,012",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9360398
XING HAI HUA 728,09X0181,9563500,"Oil Tanker, Double Hull",150,140.4,23,12.5,8.8,"11,656","5,109","17,204",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9563500
SU RUI 169,96Y3308,9142966,Liquefied Gas Carrier,99.93,94.9,19.6,7.7,5.7,"4,484","1,346","5,243",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9142966
JIN HAI YING,20D0011,9907122,"Chemical/Oil Tanker, Double Hull",129,125,22,11.8,8.5,"9,681","4,089","13,692",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9907122
HONG DA 27,10F0193,9349083,"Chemical/Oil Tanker, Double Hull",134.85,126,22,10.6,7.58,"8,525","3,829","12,000",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9349083
GUI YING,19P0338,9878888,LNG Carrier,295,288.58,45,26.25,11.5,"114,790","37,327","91,497",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9878888
PING HAI WAN,09M0171,9558579,"Asphalt Carrier(Independent Tank,Maximum Cargo Temperature≤200℃)/Oil Tanker",106.99,101.5,17.6,10.1,6.5,"5,565","1,669","6,115",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9558579
TONG DE YUAN,07L0183,9491446,Liquefied Gas Carrier,99,92,16.4,7.2,4.4,"3,790","1,137","2,706",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9491446
HENG YU 6,10H0126,9517032,"Chemical/Oil Tanker, Double Hull",142.6,135,20.8,11.2,8.4,"8,782","4,479","13,674",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9517032
CS HUNAN VENTURE,19U0527,9902627,"Oil Tanker, Double Hull",332.54,326.4,59.98,30,20.5,"163,262","101,971","307,943",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9902627
HOI HUNG NO.2,13F0185,9719173,"Chemical/Oil Tanker, Double Hull",35,33,9,4.2,2.6,338,101,423,https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9719173
